case_id,date,occasion,article_cited,bill_or_topic,note
1,2009-03-31,院會三讀,ICCPR 全文 + ICESCR 全文,兩公約施行法制定,跨黨派通過
2,2010-onwards,司法及法制委員會質詢,ICCPR Art.6 + OP2,廢死/執行死刑爭議,跨黨派多次援引
3,2017-01-24,立法院跨黨派國際人權促進會座談,ICCPR/ICESCR 結論性意見,第二次國家報告後續,
4,2017-2018,司法及法制委員會,ICCPR Art.23 Art.26,釋字 748 施行法,提案版與反對版皆有援引
5,2019-05-17,院會三讀,ICCPR 平等保障 + ICESCR Art.10,同性婚姻,
6,2019,內政委員會公聽會,ICCPR Art.21,集會遊行法修正討論,
7,2021-2022,第三次審查前後質詢,92 點結論性意見多項條文,監所/原住民/移工,跨黨派
8,2023-07-28,院會三讀,ICESCR Art.13 + CEDAW,性別平等教育法修正,提案與部分援引 Art.18 家長權者皆有
