review,year,total_members,iccpr_members,icescr_members,co_count,official_pdf,civil_shadow_report,note
1,2013,10,5,5,81,humanrights.moj.gov.tw 第一次專區,covenantswatch.org.tw/2013-initial-review,
2,2017,10,5,5,78,https://www.humanrights.moj.gov.tw/17725/17733/17745/17755/Nodelist,covenantswatch.org.tw/2017-second-review,
3,2022,9,5,4 (1 位線上未到),91/92,covenantswatch.org.tw/wp-content/兩公約第三次國際審查結論性意見.pdf,covenantswatch.org.tw/2021-third-review,NDC 新聞稿稱 92 點 / CW 引 91 點
4,2026,12,6,6,尚未發布(預定 2026 Q3),國家報告初稿 2025-05 已公布,Amnesty Taiwan + CW 平行報告整備中,審查預定 2026-05~06
